商品ID(buyma),商品URL(仕入先),サイズ(buyma),サイズ(仕入先),色情報(buyma)
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-mid-blue-90s-wash/prd/21434410?CTARef=Saved+Items+Image,W28-L30inch,W28in L30in - W71cm L76cm,mid blue 90's wash
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-dirty-mid-blue-wash/prd/20726324?CTARef=Saved+Items+Image,W28-L30inch,W28in L30in,mid wash vintage
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-vintage-light-wash-blue/prd/20986057?CTARef=Saved+Items+Image,W28-L30inch,W28in L30in - W71cm L76cm,light wash vintage
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-tinted-light-wash-blue/prd/22090933?CTARef=Saved+Items+Image,W28-L30inch,W28in L30in - W71cm L76cm,light wash vintage 2
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-light-wash-blue/prd/22090530?CTARef=Saved+Items+Image,W28-L30inch,W28in L30in - W71cm L76cm,light wash vintage 3
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-vintage-dark-tinted-wash/prd/22090937?CTARef=Saved+Items+Image,W28-L30inch,W28in L30in - W71cm L76cm,dark wash vintage
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-vintage-dark-tinted-wash/prd/22090937?CTARef=Saved+Items+Image,W28-L32inch,W28in L32in - W71cm L81cm,dark wash vintage
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-mid-wash-grey/prd/22090948?CTARef=Saved+Items+Image,W28-L30inch,W28in L30in - W71cm L76cm,mid wash grey
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-black/prd/22089650?CTARef=Saved+Items+Image,W28-L30inch,W28in L30in - W71cm L76cm,black
